magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.961426411461228	0.0	0.0
-25.625	-5.961426411461228	0.0	0.0
-24.708333333333336	-5.961426411461228	0.0	0.0
-23.791666666666664	-4.675669748677837	2.1102322275909798e-05	1.0
-22.875	-3.634277063519612	6.998848519435142e-05	11.0
-21.958333333333336	-3.2777297400057996	0.000105511611379549	25.0
-21.041666666666668	-2.904817737035693	0.00016209001301975757	59.0
-20.125	-2.7311870765276685	0.0001979573299436007	88.0
-19.208333333333336	-2.6979461433889895	0.00020567999542117385	95.0
-18.291666666666668	-2.7262797420329243	0.0001990789101935108	89.0
-17.375	-2.7513904626159555	0.0001934059783374189	84.0
-16.458333333333336	-2.545335980182831	0.00024518682822270135	135.0
